Station,District,Elevation(masl),Max,Min,Year
Parwanipur,Bara,87,29.7,NA,2020
Birganj,Parsa,67,NA,NA,2020
Kalaiya,Bara,100,NA,NA,2020
Gaur,Rautahat,77,NA,NA,2020
Bharatpur,Chitwan,216,NA,NA,2020
Kakani,Nuwakot,2002,19.1,NA,2020
Chautara,Sindhupalchok,1552,25.1,13,2020
Sarmathang,Sindhupalchok,2574,15.7,NA,2020
Dhulikhel,Kavre,1543,23.4,NA,2020
Khumaltar,Lalitpur,1334,24.3,NA,2020
Kathmandu Airport,,1337,25.3,NA,2020
Panchkhal,Kavre,857,28.1,NA,2020
Dhunibesi,Dhading,991,26.1,NA,2020
Panipokhari Kathmandu ,Kathmandu,1329,NA,NA,2020
